Timestamp,What is your Gender?,What age group do you fall under,Which economic class do you fall under? (approximate),Which of the following do you own?,Are you a regular Social Media User?,How much time do you spend on social media every day? (mention as number of hours),Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Facebook],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Instagram],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Twitter],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Linkedin],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Tik Tok],"What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [Timepass]","What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [Networking]","What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [For new content]","What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [News]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Easy to use user interface]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Strong Privacy control]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [ability to choose preferred content]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Aesthetically pleasing user interface]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Customization options (profile, user interface etc)]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Push Notifications]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Contests and Events]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [More messaging options (like instant chat)]","If a social media platform were to be Gamified (addition of classes, guilds/clans, contests, events etc), how likely are you to use it?",What are the likely reasons for you not to use social media?,Any reasons not mentioned above?,If you are given the option of a social media specific to your interests will you use it?,Which of the following are your talents/skills/interests ? ,List any interests NOT mentioned above,"Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Coder/Hacker/Electronics Enthusiast/GameDev]","Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Content Creator (Audio/Video/Photo/Art/Text)]","Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Fitness/Sports/Travel/Adventure]","Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Finance matters/stock market/fantasy sports leagues etc]",How regularly do you participate in competitions/contests?,"If you are provided an easy to use platform to participate in or host competitions in your area of interests, how likely are you to use it?",
9/18/2022 13:51:24,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,3,0,2,3,1,0,4,2,2,3,4,4,3,3,3,2,2,4,3,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",,3,3,4,2,3,3,
9/18/2022 13:51:26,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,3,0,2,0,1,0,5,2,3,3,1,1,1,1,1,1,1,1,3,,,,Writer (Stories/Scripts etc),,1,1,1,1,2,1,
9/18/2022 13:52:18,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,3,0,5,2,3,0,5,4,4,4,5,5,5,5,5,4,5,5,4,,,,"Coder/Hacker, Photographer, Travel and exploring, Sports (Real world :-D)",,4,4,4,3,1,4,
9/18/2022 13:52:44,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,3,1,5,2,5,0,4,5,1,1,1,5,5,1,1,5,1,5,2,,,,"Electronics Enthusiast (Building Devices etc), Stock Market, Collector (Coins, stamps, cards, posters, etc)",,5,1,1,5,1,1,
9/18/2022 13:55:07,Female,18-25,Middle Class,"Laptop, Mobile Phone, Desktop",Yes,3,0,3,1,0,0,3,2,1,1,5,5,4,3,5,1,1,2,3,,,,"Coder/Hacker, Travel and exploring, Collector (Coins, stamps, cards, posters, etc)",,3,1,5,1,1,3,
9/18/2022 13:55:14,Female,18-25,Middle Class,"Laptop, Mobile Phone",Yes,3,0,1,0,0,0,2,4,3,4,2,3,4,2,4,2,3,3,4,,,,"Video Maker/Editor, Travel and exploring",,2,2,2,2,3,4,
9/18/2022 13:55:47,Male,18-25,Upper Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,3,5,4,1,3,0,4,4,4,4,5,5,5,5,5,1,4,5,4,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Travel and exploring, Sports (Real world :-D)",,5,1,4,3,4,3,
9/18/2022 14:00:03,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Tablet",Yes,3,3,4,4,5,4,4,4,4,3,4,3,3,4,4,3,4,5,4,,,,"Artist, Musician, Writer (Stories/Scripts etc), Filmmaker, Travel and exploring",,4,4,4,2,3,4,
9/18/2022 14:01:58,Female,18-25,Don't want to say,"Laptop, Mobile Phone, Tablet",Yes,3,0,0,0,0,0,5,1,5,1,5,5,5,5,5,5,5,5,5,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Artist, Musician, Dancer, Fantasy Sports Leagues, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Collector (Coins, stamps, cards, posters, etc)",,1,1,5,1,1,2,
9/18/2022 14:03:26,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Tablet",Yes,3,0,3,2,3,0,3,4,4,4,5,5,5,3,5,1,5,5,5,,,,"Coder/Hacker, Musician, Travel and exploring, Stock Market, Entrepreneurship",Foodie,3,1,4,5,2,5,
9/18/2022 14:11:02,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,3,1,"3, 5",2,1,0,5,5,3,"1, 2",5,4,4,5,3,3,3,4,4,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Game Developer, Artist, Musician, Dancer, Writer (Stories/Scripts etc), Filmmaker, Video Maker/Editor, Photographer, Travel and exploring, Stock Market, Entrepreneurship",,4,4,"1, 4",4,3,3,
9/18/2022 14:11:05,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,3,0,5,1,0,0,3,1,5,5,5,5,3,5,5,4,5,5,5,,,,"Gaming, Musician, Writer (Stories/Scripts etc), Filmmaker, Photographer, Travel and exploring, Stock Market",,1,5,3,5,5,5,
9/18/2022 14:13:43,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,3,0,5,2,2,0,2,2,3,3,4,2,2,2,3,1,3,3,5,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Writer (Stories/Scripts etc), Filmmaker, Photographer, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market, Entrepreneurship",,2,3,4,5,3,3,
9/18/2022 14:24:09,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,3,0,5,5,0,0,4,2,5,1,5,5,2,4,3,4,4,3,3,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Video Maker/Editor, Fantasy Sports Leagues, Travel and exploring, Sports (Real world :-D)",-,2,4,2,"2, 5",3,5,
9/18/2022 14:25:02,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,3,3,2,1,1,0,4,1,3,3,5,3,3,3,1,3,2,3,5,,,,"Gaming, Coder/Hacker, Travel and exploring, Sports (Real world :-D)",,4,2,4,1,3,4,
9/18/2022 14:25:54,Female,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,3,1,3,0,1,0,4,2,2,3,4,4,4,4,4,2,2,2,4,,,,"Coder/Hacker, Artist, Musician, Dancer, Fantasy Sports Leagues, Sports (Real world :-D), Collector (Coins, stamps, cards, posters, etc)",,2,2,2,"1, 2",3,5,
9/18/2022 14:29:53,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Tablet",Yes,3,0,5,0,2,0,5,5,5,5,5,4,4,4,3,3,4,5,5,,,,"Musician, Writer (Stories/Scripts etc), Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Entrepreneurship",,2,2,5,4,3,4,
9/16/2022 21:37:50,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,4,1,5,2,1,0,3,2,2,1,5,5,4,5,4,2,3,3,5,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Video Maker/Editor, Photographer",,5,4,1,1,3,3,
9/16/2022 22:11:08,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,4,0,5,0,1,0,5,3,3,1,5,4,4,4,2,2,1,2,3,,,,"Artist, Photographer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,1,4,5,2,2,3,
9/16/2022 22:24:45,Male,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,4,0,5,0,2,0,3,"3, 5",5,5,5,5,5,5,5,5,5,5,5,,,,"Coder/Hacker, Electronics Enthusiast (Building Devices etc), Video Maker/Editor, Photographer",,5,5,1,1,3,5,
9/16/2022 22:25:48,Male,18-25,Lower Middle Class,"Laptop, Mobile Phone",Yes,4,1,2,3,0,0,4,2,3,4,3,3,3,3,3,3,3,3,3,,,,"Gaming, Coder/Hacker, Sports (Real world :-D)",,4,4,4,3,3,4,
9/16/2022 22:27:20,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,4,3,5,2,1,0,5,4,4,4,5,5,5,5,5,5,5,4,5,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Writer (Stories/Scripts etc), Photographer, Fitness enthusiast, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market, Entrepreneurship",,2,3,3,3,3,5,
9/17/2022 0:26:54,Male,18-25,Lower Middle Class,"Laptop, Mobile Phone",Yes,4,0,2,1,0,0,2,1,4,3,4,3,5,5,5,2,1,5,4,,,,"Gaming, Sports (Real world :-D)",,3,2,1,1,3,3,
9/17/2022 1:52:17,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,4,"0, 1, 2, 3","0, 1, 2, 3, 4",0,0,0,"1, 2","1, 2, 3","1, 2","1, 2, 3, 4, 5",2,"1, 2, 3, 4, 5","1, 2, 3, 4","1, 2, 3","1, 2, 3, 4","1, 2, 3","1, 2, 3","1, 2, 3",3,,,,"Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market",Food ,1,"1, 2, 3, 4","1, 2, 3, 4","1, 2, 3",2,4,
9/17/2022 9:30:56,Male,18-25,Lower Middle Class,"Laptop, Mobile Phone",Yes,4,0,4,0,0,0,3,3,1,1,3,3,3,2,2,3,3,3,4,,,,"Gaming, Coder/Hacker, Artist, Musician, Dancer, Writer (Stories/Scripts etc), Filmmaker, Video Maker/Editor, Photographer, Fantasy Sports Leagues, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Collector (Coins, stamps, cards, posters, etc)",,1,1,2,1,2,4,
9/18/2022 13:48:47,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,4,0,4,2,0,0,3,4,1,4,5,5,4,4,4,4,4,5,5,,,,"Fantasy Sports Leagues, Travel and exploring, Sports (Real world :-D), Stock Market, Entrepreneurship",,1,1,2,5,3,3,
9/18/2022 13:49:10,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,4,0,5,4,3,0,5,3,4,4,5,5,5,2,3,2,2,2,4,,,,"Coder/Hacker, Dancer, Video Maker/Editor, Photographer, Fantasy Sports Leagues, Fitness enthusiast, Sports (Real world :-D)",,3,4,5,2,3,4,
9/18/2022 13:49:14,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,4,0,3,1,"1, 2",0,5,4,3,4,3,4,3,3,4,3,3,4,4,,,,Gaming,,2,1,3,3,3,4,
9/18/2022 13:49:30,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Smart Watch",Yes,4,0,2,2,2,0,2,2,3,3,3,3,3,2,3,1,2,2,3,,,,"Musician, Writer (Stories/Scripts etc), Sports (Real world :-D), Entrepreneurship","Speaking, mental health talks",1,3,2,1,2,4,
9/18/2022 13:49:40,Female,18-25,Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,4,0,3,2,1,3,3,4,4,4,3,3,4,4,3,3,2,4,4,,,,"Gaming, Artist, Musician, Dancer, Writer (Stories/Scripts etc), Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Stock Market, Entrepreneurship, Collector (Coins, stamps, cards, posters, etc)",Cooking ,4,5,5,4,2,4,
9/18/2022 13:49:50,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,4,0,3,1,2,0,4,3,4,4,5,5,5,5,5,3,4,5,4,,,,"Coder/Hacker, Electronics Enthusiast (Building Devices etc), Game Developer, Artist, Fitness enthusiast, Travel and exploring, Entrepreneurship",,5,4,3,"3, 4",4,4,
9/18/2022 13:49:59,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Tablet",Yes,4,0,"3, 4, 5",0,0,0,5,3,3,2,5,5,4,5,5,3,3,5,4,,,,"Coder/Hacker, Musician, Photographer",,4,2,2,1,4,4,
9/18/2022 13:50:32,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,4,2,5,0,1,0,3,1,3,3,3,3,3,3,3,2,1,3,4,,,,"Gaming, Coder/Hacker, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,2,1,2,1,3,4,
9/18/2022 13:54:00,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Tablet",Yes,4,0,5,4,0,0,5,5,4,4,5,5,5,5,5,3,5,5,2,,,,"Artist, Writer (Stories/Scripts etc), Filmmaker, Video Maker/Editor, Photographer, Travel and exploring",,1,4,4,1,1,4,
9/18/2022 13:55:41,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,4,0,4,0,0,0,1,3,4,3,3,3,3,3,3,1,"1, 3",3,3,,,,"Coder/Hacker, Electronics Enthusiast (Building Devices etc), Musician, Dancer, Writer (Stories/Scripts etc), Photographer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",Speaker,3,3,2,1,4,4,
9/18/2022 13:57:51,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,4,0,1,1,1,0,2,2,3,4,4,5,4,5,4,3,3,4,4,,,,"Gaming, Coder/Hacker, Artist, Writer (Stories/Scripts etc), Fantasy Sports Leagues, Adventure (Trekking, Biking, Hiking, etc), Collector (Coins, stamps, cards, posters, etc)",,4,4,4,2,4,4,
9/18/2022 14:10:04,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Tablet",Yes,4,1,3,4,2,0,2,4,5,3,4,3,4,3,4,3,4,"3, 4",4,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Writer (Stories/Scripts etc), Filmmaker, Fantasy Sports Leagues, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market, Entrepreneurship",,2,2,3,3,3,4,
9/18/2022 14:12:06,Male,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,4,0,3,2,2,0,"1, 2",3,4,4,5,2,5,3,5,3,4,4,2,,,,"Filmmaker, Video Maker/Editor, Photographer, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",,1,5,4,1,3,4,
9/18/2022 14:20:11,Male,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,4,0,5,0,0,0,5,3,5,5,5,3,5,5,3,3,3,4,4,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,4,5,4,3,1,1,
9/18/2022 14:21:07,Female,18-25,,"Laptop, Mobile Phone, Tablet",Yes,4,1,5,2,3,0,3,3,4,4,3,3,4,3,3,3,3,3,3,,,,"Musician, Photographer, Adventure (Trekking, Biking, Hiking, etc), Collector (Coins, stamps, cards, posters, etc)",,4,3,3,4,2,4,
9/18/2022 14:21:42,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,4,0,5,3,2,0,3,3,4,5,5,5,5,5,5,"1, 5",4,2,3,,,,"Artist, Musician, Dancer, Writer (Stories/Scripts etc), Photographer, Fantasy Sports Leagues, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market, Entrepreneurship",,1,5,5,"3, 5",3,3,
9/16/2022 12:13:28,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Tablet",Yes,5,1,1,1,0,0,2,2,2,2,"2, 3","2, 3","2, 3","2, 3","2, 3","2, 3","2, 3",3,5,,,,Gaming,,1,1,1,1,5,5,
9/16/2022 21:50:18,Female,18-25,Don't want to say,"Laptop, Mobile Phone",Yes,5,0,2,1,2,0,1,5,"1, 2",3,5,1,5,3,3,3,5,3,3,,,,"Dancer, Video Maker/Editor",,1,"3, 4",2,1,2,3,
9/16/2022 21:52:07,Male,18-25,Middle Class,Mobile Phone,Yes,5,0,"3, 4",1,1,0,4,2,1,1,3,2,2,1,1,2,1,1,1,,,,"Gaming, Adventure (Trekking, Biking, Hiking, etc), Entrepreneurship",,1,2,2,1,2,2,
9/16/2022 22:19:31,Female,18-25,Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch",Yes,5,0,3,1,2,1,4,3,4,3,5,5,5,4,5,5,4,5,4,,,,"Video Maker/Editor, Photographer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,2,2,2,2,4,4,
9/16/2022 23:22:21,Male,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,5,0,3,1,0,0,4,1,3,4,5,4,"3, 5",3,5,5,"3, 5",4,4,,,,"Gaming, Photographer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",,1,1,1,1,1,1,
9/16/2022 23:38:54,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,5,0,3,0,0,0,4,4,4,4,5,2,4,3,5,5,3,5,1,,,,Gaming,,1,1,1,1,1,5,
9/16/2022 23:41:52,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,5,0,3,0,0,0,4,3,3,3,3,3,3,4,5,2,3,3,3,,,,"Gaming, Dancer, Photographer, Travel and exploring",,1,2,3,2,3,3,
9/17/2022 9:46:33,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,5,0,5,0,0,2,5,3,4,4,3,2,3,2,3,3,4,5,4,,,,"Artist, Dancer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Entrepreneurship",ACTING ,1,1,3,2,4,5,
9/17/2022 12:26:25,Male,18-25,Don't want to say,"Laptop, Mobile Phone",Yes,5,0,0,1,0,0,1,1,1,2,5,5,3,3,3,1,2,2,2,,,,"Gaming, Photographer",Nothing ,1,2,1,1,1,2,
9/18/2022 13:51:57,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,5,0,4,2,0,5,3,2,4,3,4,5,5,5,3,1,3,3,5,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Artist, Writer (Stories/Scripts etc), Filmmaker, Video Maker/Editor, Photographer, Fantasy Sports Leagues, Fitness enthusiast, Travel and exploring, Sports (Real world :-D), Entrepreneurship",Anime,5,2,4,3,3,5,
9/18/2022 13:53:22,Female,18-25,Upper Class,"Laptop, Mobile Phone",Yes,5,0,5,0,0,0,5,4,4,1,3,"2, 3",4,4,4,4,3,5,2,,,,"Photographer, Travel and exploring",,3,2,4,1,2,3,
9/18/2022 13:57:30,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Tablet",Yes,5,0,0,"0, 5","0, 3",0,"3, 5",3,5,5,4,5,5,5,5,4,1,4,5,,,,"Gaming, Coder/Hacker, Game Developer, Photographer, Stock Market, Entrepreneurship, Collector (Coins, stamps, cards, posters, etc)",,5,1,3,4,3,4,
9/18/2022 13:59:17,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,5,0,3,0,0,0,5,1,5,1,5,5,3,4,5,5,5,5,5,,,,"Gaming, Video Maker/Editor",NONE,1,4,2,1,1,3,
9/18/2022 14:09:55,Male,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,5,0,3,0,0,0,5,4,5,3,5,4,5,5,5,4,3,4,3,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Artist, Musician, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,4,4,3,1,2,3,
9/18/2022 14:15:34,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop",Yes,5,0,5,3,3,0,5,2,5,3,5,5,3,4,3,2,2,5,5,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Fantasy Sports Leagues, Sports (Real world :-D)",,3,3,4,"2, 4",4,4,
9/18/2022 14:16:44,Male,18-25,,"Laptop, Mobile Phone",Yes,5,0,5,4,1,0,5,3,2,3,2,5,5,5,4,1,1,5,2,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Writer (Stories/Scripts etc), Fantasy Sports Leagues, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,3,2,5,3,2,4,
9/16/2022 21:43:49,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,6,0,4,3,3,0,3,1,4,4,3,3,3,3,3,"3, 4",3,3,3,,,,"Gaming, Coder/Hacker, Sports (Real world :-D)",,4,1,5,3,2,5,
9/16/2022 22:11:55,Female,18-25,Middle Class,"Laptop, Mobile Phone",Yes,6,0,4,0,3,0,4,2,3,3,3,5,4,3,5,2,3,4,4,,,,"Dancer, Video Maker/Editor, Photographer, Adventure (Trekking, Biking, Hiking, etc)",,3,4,5,3,3,3,
9/16/2022 22:22:52,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,6,1,3,2,3,0,1,4,4,4,5,5,5,3,5,4,5,5,4,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Game Developer, Musician, Video Maker/Editor, Photographer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",,4,4,5,5,3,4,
9/16/2022 22:24:25,Male,18-25,Middle Class,"Laptop, Mobile Phone, Desktop",Yes,6,2,5,2,3,1,4,4,4,3,4,5,4,5,4,5,4,4,3,,,,"Gaming, Artist, Musician, Dancer, Video Maker/Editor, Photographer, Fantasy Sports Leagues, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,2,3,5,3,4,3,
9/16/2022 23:41:13,Male,18-25,Middle Class,"Mobile Phone, Desktop",Yes,6,0,5,3,4,0,5,3,3,3,4,5,5,4,4,3,"1, 3",4,3,,,,"Gaming, Coder/Hacker, Game Developer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Stock Market, Entrepreneurship",,5,4,5,3,3,3,
9/18/2022 13:48:42,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,6,0,3,0,0,0,5,5,5,5,5,2,3,4,5,5,4,5,2,,,,"Writer (Stories/Scripts etc), Fitness enthusiast, Sports (Real world :-D), Entrepreneurship, Collector (Coins, stamps, cards, posters, etc)",,1,3,4,3,1,3,
9/18/2022 13:50:20,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,6,1,5,0,4,0,5,4,4,4,5,5,5,5,4,4,4,5,5,,,,"Gaming, Musician, Fitness enthusiast, Travel and exploring, Stock Market",,1,4,5,5,3,4,
9/18/2022 13:55:32,Male,18-25,,"Laptop, Mobile Phone, Desktop, Tablet",Yes,6,0,5,0,1,0,4,4,4,4,4,5,5,5,5,5,1,4,1,,,,Gaming,none,1,1,1,1,1,2,
9/18/2022 14:00:25,Female,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,6,0,3,3,1,0,2,3,4,5,3,3,4,3,"3, 4",1,4,4,4,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Game Developer, Artist, Musician, Dancer, Writer (Stories/Scripts etc), Filmmaker, Video Maker/Editor, Photographer, Fantasy Sports Leagues, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market, Entrepreneurship, Collector (Coins, stamps, cards, posters, etc)",...,1,1,1,1,2,4,
9/18/2022 14:04:11,Male,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,6,2,4,0,1,0,4,2,4,5,2,3,3,4,3,3,3,4,4,,,,"Coder/Hacker, Electronics Enthusiast (Building Devices etc), Artist, Musician, Filmmaker, Video Maker/Editor, Photographer, Travel and exploring, Sports (Real world :-D), Stock Market, Entrepreneurship",,1,1,2,2,3,3,
9/18/2022 14:12:30,Male,18-25,Middle Class,"Laptop, Mobile Phone, Tablet",Yes,6,1,5,1,1,1,5,5,5,5,5,4,5,4,4,4,5,5,5,,,,"Gaming, Coder/Hacker",,5,5,4,5,5,5,
9/18/2022 13:55:37,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,8,3,3,4,5,0,3,5,3,4,4,4,4,4,4,4,4,4,4,,,,"Gaming, Filmmaker, Video Maker/Editor, Travel and exploring, Sports (Real world :-D)",,5,5,5,5,3,5,
9/18/2022 13:58:47,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,8,1,3,2,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,"Gaming, Fantasy Sports Leagues, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,3,3,3,3,3,5,
9/16/2022 22:19:18,Female,18-25,Middle Class,"Mobile Phone, Desktop",Yes,10,0,1,0,0,0,3,4,1,2,2,1,1,1,1,1,1,1,5,,,,"Stock Market, Entrepreneurship",,1,2,1,1,1,1,
9/18/2022 13:57:52,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Tablet",Yes,10,0,4,2,0,0,5,3,2,2,5,3,5,5,5,2,1,5,4,,,,"Gaming, Writer (Stories/Scripts etc), Fantasy Sports Leagues, Stock Market, Collector (Coins, stamps, cards, posters, etc)",Entertainment ,3,1,3,5,1,3,
9/16/2022 21:44:23,Male,18-25,Lower Middle Class,"Laptop, Mobile Phone",Yes,23,0,0,5,0,0,3,1,2,3,3,5,5,3,4,2,1,3,4,,,,Gaming,Gambling,1,1,1,1,1,3,
9/16/2022 22:21:52,Male,18-25,Middle Class,Mobile Phone,Yes,23,3,3,3,3,3,4,3,4,3,3,2,4,3,3,2,3,4,3,,,,"Video Maker/Editor, Photographer, Travel and exploring, Sports (Real world :-D)",Pulihora Mixing skill ,1,1,3,1,3,3,
9/16/2022 12:52:39,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Desktop",No,,,,,,,,,,,,,,,,,,,,"It is a waste of time, too much misinformation or cluttered information, privacy or security issues, you dont have much time, more of a real-world person",,No,"Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",,1,1,5,1,2,2,
9/16/2022 17:52:33,Male,18-25,Middle Class,"Laptop, Mobile Phone, Tablet",No,,,,,,,,,,,,,,,,,,,,"too much misinformation or cluttered information, privacy or security issues",,Yes,"Gaming, Artist","Religious/mythological content, analysis/theory videos ",1,4,2,2,2,4,
9/17/2022 8:37:18,Male,18-25,Lower Middle Class,"Laptop, Mobile Phone",No,,,,,,,,,,,,,,,,,,,,"too much misinformation or cluttered information, privacy or security issues",,Yes,"Adventure (Trekking, Biking, Hiking, etc), Entrepreneurship",,1,1,5,5,2,3,
